iter	Passed	Remaining
287	6929	17011
288	6954	16988
289	6976	16959
290	7000	16934
291	7024	16912
292	7048	16887
293	7072	16864
294	7097	16840
295	7121	16817
296	7146	16794
297	7167	16763
298	7190	16736
299	7211	16706
300	7238	16689
301	7262	16664
302	7287	16643
303	7313	16623
304	7339	16603
305	7367	16589
306	7374	16526
307	7399	16504
308	7424	16481
309	7449	16461
310	7475	16441
311	7500	16419
312	7526	16399
313	7550	16374
314	7576	16354
315	7601	16334
316	7626	16311
317	7650	16287
318	7674	16263
319	7697	16237
320	7722	16215
321	7747	16193
322	7772	16170
323	7797	16148
324	7819	16120
325	7843	16096
326	7867	16072
327	7892	16048
328	7916	16026
329	7941	16002
330	7965	15978
331	7988	15952
332	8010	15925
333	8035	15902
334	8060	15879
335	8085	15857
336	8107	15830
337	8131	15806
338	8157	15785
339	8182	15763
340	8207	15740
341	8230	15715
342	8254	15691
343	8279	15668
344	8305	15648
345	8334	15633
346	8361	15614
347	8387	15594
348	8412	15571
349	8437	15549
350	8461	15525
351	8485	15500
352	8510	15478
353	8533	15452
354	8557	15427
355	8582	15404
356	8604	15376
357	8627	15351
358	8654	15333
359	8678	15308
360	8704	15286
361	8730	15266
362	8754	15242
363	8779	15220
364	8803	15195
365	8829	15174
366	8854	15152
367	8879	15128
368	8903	15104
369	8929	15083
370	8955	15062
371	8983	15044
372	9007	15019
373	9030	14995
374	9053	14967
375	9078	14945
376	9102	14921
377	9127	14898
378	9151	14874
379	9176	14850
380	9199	14825
381	9235	14819
382	9260	14797
383	9284	14773
384	9310	14751
385	9335	14728
386	9359	14705
387	9385	14682
388	9410	14659
389	9436	14638
390	9458	14611
391	9482	14587
392	9507	14563
393	9532	14540
394	9559	14520
395	9581	14493
396	9605	14468
397	9632	14448
398	9657	14425
399	9681	14401
